temporada;rodada;temp_ar_media;temp_pista_media;umidade_media;corrida_molhada;perc_voltas_chuva
2025;17;20.55;26.11;59.83;0;0.0
2025;18;29.07;33.85;74.36;0;3.7
2025;19;28.27;45.04;22.53;0;0.0
2025;20;26.41;50.59;23.23;0;0.0
2025;21;17.35;30.69;70.57;0;0.0
2025;22;16.73;19.53;37.77;0;0.0
2025;23;22.6;28.16;69.05;0;0.0
2025;24;26.67;31.06;60.44;0;0.0
2026;1;24.23;36.13;53.97;0;0.0
2026;2;15.57;22.62;55.0;0;0.0
2026;3;18.56;34.14;52.5;0;0.0
2026;4;27.13;37.01;70.45;0;1.8
2026;5;12.85;17.83;71.7;0;0.0
2026;6;23.68;37.98;62.2;0;0.0
2026;7;30.53;50.29;28.87;0;0.0
